priority	file	sha256	section	start	end_exclusive	file_offset	name	range_evidence	reason
1	.local/legacy-firmware/work/extract/stock-rootfs/lib/modules/5.4.55/mtk_pci.ko	c71b2073eeb2498c05c5e42bb5ceaf3df664cff42bf0b0740eb6152458e0857b	.text	0x6370	0x65d8	0x63d0	send_rro_stop_msg_2_NPU	STT_FUNC_symbol_size	Named stop-mailbox helper; two direct mailbox CALL26 sites
1	.local/legacy-firmware/work/extract/stock-rootfs/lib/modules/5.4.55/mtk_pci.ko	c71b2073eeb2498c05c5e42bb5ceaf3df664cff42bf0b0740eb6152458e0857b	.text.unlikely	0x50	0xa0	0xafb0	unnamed@.text.unlikely+0x50	eh_frame_FDE:0x3a0	PCI stop callback slot +0x128; direct call to named stop helper
1	.local/legacy-firmware/work/extract/stock-rootfs/lib/modules/5.4.55/mtk_pci.ko	c71b2073eeb2498c05c5e42bb5ceaf3df664cff42bf0b0740eb6152458e0857b	.text	0x6250	0x6368	0x62b0	send_rro_done_msg_2_NPU	STT_FUNC_symbol_size	Named done-mailbox helper; one direct mailbox CALL26 site
1	.local/legacy-firmware/work/extract/stock-rootfs/lib/modules/5.4.55/mtk_pci.ko	c71b2073eeb2498c05c5e42bb5ceaf3df664cff42bf0b0740eb6152458e0857b	.text.unlikely	0x0	0x50	0xaf60	unnamed@.text.unlikely+0x0	eh_frame_FDE:0x37c	PCI start callback slot +0x130; direct call to named done helper
1	.local/legacy-firmware/work/extract/stock-rootfs/lib/modules/5.4.55/mtk_hwifi.ko	6d82ba02d96d638da9e80592a63e31c09d2f8603620066b604c1702d1171c8f7	.text	0xce90	0xcec4	0xcef0	mtk_ge_stop_npu	STT_FUNC_symbol_size	Named stop wrapper; BLR through slot +0x128, not a direct mailbox call
1	.local/legacy-firmware/work/extract/stock-rootfs/lib/modules/5.4.55/mtk_hwifi.ko	6d82ba02d96d638da9e80592a63e31c09d2f8603620066b604c1702d1171c8f7	.text	0xcec4	0xcef8	0xcf24	mtk_ge_start_npu	STT_FUNC_symbol_size	Named start wrapper; BLR through slot +0x130, not a direct mailbox call
1	.local/legacy-firmware/work/extract/stock-rootfs/lib/modules/5.4.55/mt_wifi.ko	40c8f974ad7317776f602c069c009d1f0d5d939d622ccdee275423fad1e35cb0	.text	0x115440	0x115f74	0x1154a0	mt7990_ser_1_0_v1	STT_FUNC_symbol_size	Named L1 coordinator candidate; eight direct asic_ser_handler calls
1	.local/legacy-firmware/work/extract/stock-rootfs/lib/modules/5.4.55/mt_wifi.ko	40c8f974ad7317776f602c069c009d1f0d5d939d622ccdee275423fad1e35cb0	.text	0x397770	0x397f80	0x3977d0	unnamed@.text+0x397770	eh_frame_FDE:0x7d1f8	Anonymous dispatcher; materializes L1 and FE handler addresses, not direct-call proof
1	.local/legacy-firmware/work/extract/stock-rootfs/lib/modules/5.4.55/mt_wifi.ko	40c8f974ad7317776f602c069c009d1f0d5d939d622ccdee275423fad1e35cb0	.text	0x1162e0	0x116450	0x116340	mt7990_fe_reset	STT_FUNC_symbol_size	Named FE reset coordinator candidate; direct asic_ser_handler calls
1	.local/legacy-firmware/work/extract/stock-rootfs/lib/modules/5.4.55/mt_wifi.ko	40c8f974ad7317776f602c069c009d1f0d5d939d622ccdee275423fad1e35cb0	.text	0x34d820	0x34d8a0	0x34d880	asic_ser_handler	STT_FUNC_symbol_size	Named ASIC SER wrapper; unresolved indirect dispatch
