name	file	sha256	section	value	size	type	bind	export_relocations	evidence
boot_npu_all_cores	research/stock/elf/stock-kernel.vmlinux.elf	a51e6d0a6deee620a5f715c9469f193906cdf3fcea28b97ce01cf88383aa704e	.kernel	0xffffffc0100d10e0	0x0	STT_FUNC	STB_GLOBAL		same_named_definition_not_runtime_binding
get_ecnt_npu_dev	research/stock/elf/stock-kernel.vmlinux.elf	a51e6d0a6deee620a5f715c9469f193906cdf3fcea28b97ce01cf88383aa704e	.kernel	0xffffffc0100d0f84	0x0	STT_FUNC	STB_GLOBAL		same_named_definition_not_runtime_binding
get_npu_dbg_csr	research/stock/elf/stock-kernel.vmlinux.elf	a51e6d0a6deee620a5f715c9469f193906cdf3fcea28b97ce01cf88383aa704e	.kernel	0xffffffc0100d24e4	0x0	STT_FUNC	STB_GLOBAL		same_named_definition_not_runtime_binding
get_npu_hostadpt_reg	research/stock/elf/stock-kernel.vmlinux.elf	a51e6d0a6deee620a5f715c9469f193906cdf3fcea28b97ce01cf88383aa704e	.kernel	0xffffffc0100d2410	0x0	STT_FUNC	STB_GLOBAL		same_named_definition_not_runtime_binding
get_npu_irq	research/stock/elf/stock-kernel.vmlinux.elf	a51e6d0a6deee620a5f715c9469f193906cdf3fcea28b97ce01cf88383aa704e	.kernel	0xffffffc0100d10a0	0x0	STT_FUNC	STB_GLOBAL		same_named_definition_not_runtime_binding
glb_npu_en_rx	.local/legacy-firmware/work/extract/stock-rootfs/lib/modules/5.4.55/mt_wifi.ko	40c8f974ad7317776f602c069c009d1f0d5d939d622ccdee275423fad1e35cb0	.data	0xa1e9	0x1	STT_OBJECT	STB_LOCAL	__ksymtab+0x0:R_AARCH64_PREL32	same_named_definition_not_runtime_binding
glb_npu_en_tx	.local/legacy-firmware/work/extract/stock-rootfs/lib/modules/5.4.55/mt_wifi.ko	40c8f974ad7317776f602c069c009d1f0d5d939d622ccdee275423fad1e35cb0	.data	0xa1e8	0x1	STT_OBJECT	STB_LOCAL	__ksymtab+0xc:R_AARCH64_PREL32	same_named_definition_not_runtime_binding
host_notify_npuMbox	research/stock/elf/stock-kernel.vmlinux.elf	a51e6d0a6deee620a5f715c9469f193906cdf3fcea28b97ce01cf88383aa704e	.kernel	0xffffffc0100d1cc4	0x0	STT_FUNC	STB_GLOBAL		same_named_definition_not_runtime_binding
npu_wifi_offload_get_ba_node_addr	research/stock/elf/stock-kernel.vmlinux.elf	a51e6d0a6deee620a5f715c9469f193906cdf3fcea28b97ce01cf88383aa704e	.kernel	0xffffffc0100d0d84	0x0	STT_FUNC	STB_GLOBAL		same_named_definition_not_runtime_binding
npu_wifi_offload_get_force_to_cpu_flag	research/stock/elf/stock-kernel.vmlinux.elf	a51e6d0a6deee620a5f715c9469f193906cdf3fcea28b97ce01cf88383aa704e	.kernel	0xffffffc0100d0d90	0x0	STT_FUNC	STB_GLOBAL		same_named_definition_not_runtime_binding
npu_wifi_offload_get_pkt_buf_addr	research/stock/elf/stock-kernel.vmlinux.elf	a51e6d0a6deee620a5f715c9469f193906cdf3fcea28b97ce01cf88383aa704e	.kernel	0xffffffc0100d25d0	0x0	STT_FUNC	STB_GLOBAL		same_named_definition_not_runtime_binding
npu_wifi_offload_get_tx_pkt_buf_addr	research/stock/elf/stock-kernel.vmlinux.elf	a51e6d0a6deee620a5f715c9469f193906cdf3fcea28b97ce01cf88383aa704e	.kernel	0xffffffc0100d260c	0x0	STT_FUNC	STB_GLOBAL		same_named_definition_not_runtime_binding
npu_wifi_offload_set_force_to_cpu_flag	research/stock/elf/stock-kernel.vmlinux.elf	a51e6d0a6deee620a5f715c9469f193906cdf3fcea28b97ce01cf88383aa704e	.kernel	0xffffffc0100d264c	0x0	STT_FUNC	STB_GLOBAL		same_named_definition_not_runtime_binding
set_npu_hostadpt_reg	research/stock/elf/stock-kernel.vmlinux.elf	a51e6d0a6deee620a5f715c9469f193906cdf3fcea28b97ce01cf88383aa704e	.kernel	0xffffffc0100d0d60	0x0	STT_FUNC	STB_GLOBAL		same_named_definition_not_runtime_binding
set_npu_needed_info	research/stock/elf/stock-kernel.vmlinux.elf	a51e6d0a6deee620a5f715c9469f193906cdf3fcea28b97ce01cf88383aa704e	.kernel	0xffffffc0100d1274	0x0	STT_FUNC	STB_GLOBAL		same_named_definition_not_runtime_binding
test_ram_b4_npu_load	research/stock/elf/stock-kernel.vmlinux.elf	a51e6d0a6deee620a5f715c9469f193906cdf3fcea28b97ce01cf88383aa704e	.kernel	0xffffffc0100d11b0	0x0	STT_FUNC	STB_GLOBAL		same_named_definition_not_runtime_binding
