file	sha256	table	index	name	type	bind	visibility	section	value	size	undefined	related_name
.local/legacy-firmware/work/extract/stock-rootfs/lib/modules/5.4.55/ae_wan.ko	71bae5819554ff845ce26fc5b80f7e99528cc54103bb742940361e0920181c81	.symtab	47	xsi_mac_itf_reset	STT_FUNC	STB_LOCAL	STV_DEFAULT	.text	0x1500	0x120	0	1
.local/legacy-firmware/work/extract/stock-rootfs/lib/modules/5.4.55/ae_wan.ko	71bae5819554ff845ce26fc5b80f7e99528cc54103bb742940361e0920181c81	.symtab	90	xsi_mac_api_reset	STT_FUNC	STB_LOCAL	STV_DEFAULT	.text	0x1fa0	0x10c	0	1
.local/legacy-firmware/work/extract/stock-rootfs/lib/modules/5.4.55/connac_if.ko	52f5c19cacf0febddc73a72247250a7c067039c80b8bbd744f5283a5492e0d28	.symtab	36	mtk_rx_ser_event	STT_NOTYPE	STB_GLOBAL	STV_DEFAULT	SHN_UNDEF	0x0	0x0	1	1
.local/legacy-firmware/work/extract/stock-rootfs/lib/modules/5.4.55/eth.ko	6dc3281e9cf784c38f8ea83b272ddc65ef4fdfe2bf3acf99391d5def1635451d	.symtab	242	phy_reset_esd	STT_FUNC	STB_LOCAL	STV_DEFAULT	.text	0x9a00	0x4	0	1
.local/legacy-firmware/work/extract/stock-rootfs/lib/modules/5.4.55/eth.ko	6dc3281e9cf784c38f8ea83b272ddc65ef4fdfe2bf3acf99391d5def1635451d	.symtab	254	esd_has_reset	STT_OBJECT	STB_LOCAL	STV_DEFAULT	.bss	0xd25	0x1	0	1
.local/legacy-firmware/work/extract/stock-rootfs/lib/modules/5.4.55/eth.ko	6dc3281e9cf784c38f8ea83b272ddc65ef4fdfe2bf3acf99391d5def1635451d	.symtab	424	XSI_MAC_LOGIC_RESET	STT_FUNC	STB_LOCAL	STV_DEFAULT	.text	0x14f0	0x3c	0	1
.local/legacy-firmware/work/extract/stock-rootfs/lib/modules/5.4.55/eth.ko	6dc3281e9cf784c38f8ea83b272ddc65ef4fdfe2bf3acf99391d5def1635451d	.symtab	500	macMT7530PortReset	STT_FUNC	STB_LOCAL	STV_DEFAULT	.text	0x18610	0x9c	0	1
.local/legacy-firmware/work/extract/stock-rootfs/lib/modules/5.4.55/eth.ko	6dc3281e9cf784c38f8ea83b272ddc65ef4fdfe2bf3acf99391d5def1635451d	.symtab	513	macReset	STT_FUNC	STB_LOCAL	STV_DEFAULT	.text	0x2bd0	0x98	0	1
.local/legacy-firmware/work/extract/stock-rootfs/lib/modules/5.4.55/eth.ko	6dc3281e9cf784c38f8ea83b272ddc65ef4fdfe2bf3acf99391d5def1635451d	.symtab	650	dsoffload_presetting	STT_OBJECT	STB_LOCAL	STV_DEFAULT	.bss	0x744	0x4	0	1
.local/legacy-firmware/work/extract/stock-rootfs/lib/modules/5.4.55/eth.ko	6dc3281e9cf784c38f8ea83b272ddc65ef4fdfe2bf3acf99391d5def1635451d	.symtab	696	port_all_reset_by_index	STT_FUNC	STB_LOCAL	STV_DEFAULT	.text	0x1cad4	0x40	0	1
