file	sha256	relocation_section	relocation_index	target_section	offset	elf_address	file_offset	type	symbol	symbol_index	symbol_undefined	symbol_type	symbol_section	symbol_value	addend	resolved_target_functions	resolved_target_address	owners	owner_start	owner_offset	owner_extent	owner_end	owner_fde	evidence	instruction_word	selection_relation	containing_object
.local/legacy-firmware/work/extract/stock-rootfs/lib/modules/5.4.55/hw_nat.ko	894b91053435a85fa44abb62bfe218c50ffc316f2a2252a75c0d1847f527f200	.rela.text	9608	.text	0x374a4	0x374a4	0x37504	R_AARCH64_CALL26	get_gdmpSram_dev	1068	1	STT_NOTYPE	SHN_UNDEF	0x0	0x0			unnamed@.text+0x37490	0x37490	0x14	eh_frame_FDE	0x3759c	0x99c8	direct_call_BL	0x94000000	outgoing	
.local/legacy-firmware/work/extract/stock-rootfs/lib/modules/5.4.55/hw_nat.ko	894b91053435a85fa44abb62bfe218c50ffc316f2a2252a75c0d1847f527f200	.rela.text	9609	.text	0x374c4	0x374c4	0x37524	R_AARCH64_CALL26	dma_alloc_attrs	1095	1	STT_NOTYPE	SHN_UNDEF	0x0	0x0			unnamed@.text+0x37490	0x37490	0x34	eh_frame_FDE	0x3759c	0x99c8	direct_call_BL	0x94000000	outgoing	
.local/legacy-firmware/work/extract/stock-rootfs/lib/modules/5.4.55/hw_nat.ko	894b91053435a85fa44abb62bfe218c50ffc316f2a2252a75c0d1847f527f200	.rela.text	9610	.text	0x3750c	0x3750c	0x3756c	R_AARCH64_CALL26	memmove	976	1	STT_NOTYPE	SHN_UNDEF	0x0	0x0			unnamed@.text+0x37490	0x37490	0x7c	eh_frame_FDE	0x3759c	0x99c8	direct_call_BL	0x94000000	outgoing	
.local/legacy-firmware/work/extract/stock-rootfs/lib/modules/5.4.55/hw_nat.ko	894b91053435a85fa44abb62bfe218c50ffc316f2a2252a75c0d1847f527f200	.rela.text	9611	.text	0x37548	0x37548	0x375a8	R_AARCH64_CALL26	host_notify_npuMbox	1004	1	STT_NOTYPE	SHN_UNDEF	0x0	0x0			unnamed@.text+0x37490	0x37490	0xb8	eh_frame_FDE	0x3759c	0x99c8	direct_call_BL	0x94000000	outgoing	
.local/legacy-firmware/work/extract/stock-rootfs/lib/modules/5.4.55/hw_nat.ko	894b91053435a85fa44abb62bfe218c50ffc316f2a2252a75c0d1847f527f200	.rela.text	9612	.text	0x37568	0x37568	0x375c8	R_AARCH64_CALL26	dma_free_attrs	1171	1	STT_NOTYPE	SHN_UNDEF	0x0	0x0			unnamed@.text+0x37490	0x37490	0xd8	eh_frame_FDE	0x3759c	0x99c8	direct_call_BL	0x94000000	outgoing	
.local/legacy-firmware/work/extract/stock-rootfs/lib/modules/5.4.55/hw_nat.ko	894b91053435a85fa44abb62bfe218c50ffc316f2a2252a75c0d1847f527f200	.rela.text	9615	.text	0x37584	0x37584	0x375e4	R_AARCH64_CALL26	printk	1119	1	STT_NOTYPE	SHN_UNDEF	0x0	0x0			unnamed@.text+0x37490	0x37490	0xf4	eh_frame_FDE	0x3759c	0x99c8	direct_call_BL	0x94000000	outgoing	
.local/legacy-firmware/work/extract/stock-rootfs/lib/modules/5.4.55/hw_nat.ko	894b91053435a85fa44abb62bfe218c50ffc316f2a2252a75c0d1847f527f200	.rela.text	9618	.text	0x37594	0x37594	0x375f4	R_AARCH64_CALL26	printk	1119	1	STT_NOTYPE	SHN_UNDEF	0x0	0x0			unnamed@.text+0x37490	0x37490	0x104	eh_frame_FDE	0x3759c	0x99c8	direct_call_BL	0x94000000	outgoing	
.local/legacy-firmware/work/extract/stock-rootfs/lib/modules/5.4.55/hw_nat.ko	894b91053435a85fa44abb62bfe218c50ffc316f2a2252a75c0d1847f527f200	.rela.text	9631	.text	0x37754	0x37754	0x377b4	R_AARCH64_CALL26	get_gdmpSram_dev	1068	1	STT_NOTYPE	SHN_UNDEF	0x0	0x0			unnamed@.text+0x37740	0x37740	0x14	eh_frame_FDE	0x37844	0x9a60	direct_call_BL	0x94000000	outgoing	
.local/legacy-firmware/work/extract/stock-rootfs/lib/modules/5.4.55/hw_nat.ko	894b91053435a85fa44abb62bfe218c50ffc316f2a2252a75c0d1847f527f200	.rela.text	9632	.text	0x37774	0x37774	0x377d4	R_AARCH64_CALL26	dma_alloc_attrs	1095	1	STT_NOTYPE	SHN_UNDEF	0x0	0x0			unnamed@.text+0x37740	0x37740	0x34	eh_frame_FDE	0x37844	0x9a60	direct_call_BL	0x94000000	outgoing	
.local/legacy-firmware/work/extract/stock-rootfs/lib/modules/5.4.55/hw_nat.ko	894b91053435a85fa44abb62bfe218c50ffc316f2a2252a75c0d1847f527f200	.rela.text	9633	.text	0x377f0	0x377f0	0x37850	R_AARCH64_CALL26	host_notify_npuMbox	1004	1	STT_NOTYPE	SHN_UNDEF	0x0	0x0			unnamed@.text+0x37740	0x37740	0xb0	eh_frame_FDE	0x37844	0x9a60	direct_call_BL	0x94000000	outgoing	
