file	sha256	relocation_section	relocation_index	target_section	offset	elf_address	file_offset	type	symbol	symbol_index	symbol_undefined	symbol_type	symbol_section	symbol_value	addend	resolved_target_functions	resolved_target_address	owners	owner_start	owner_offset	owner_extent	owner_end	owner_fde	evidence	instruction_word	selection_relation	containing_object
.local/legacy-firmware/work/extract/stock-rootfs/lib/modules/5.4.55/mt7990.ko	502cd4b1ddab60b5a23a0d4d904f49ddae795dfa09154d70b63f933add323f81	.rela.data	12	.data	0x80	0x80	0x509300	R_AARCH64_ABS64		1	0	STT_SECTION	.text	0x0	0xcc4	unnamed@.text+0xcc4	0xcc4							data_reference		incoming	
.local/legacy-firmware/work/extract/stock-rootfs/lib/modules/5.4.55/mt7990.ko	502cd4b1ddab60b5a23a0d4d904f49ddae795dfa09154d70b63f933add323f81	.rela.data	32	.data	0x420	0x420	0x5096a0	R_AARCH64_ABS64		1	0	STT_SECTION	.text	0x0	0x140	unnamed@.text+0x140	0x140							data_reference		incoming	
.local/legacy-firmware/work/extract/stock-rootfs/lib/modules/5.4.55/mt_wifi.ko	40c8f974ad7317776f602c069c009d1f0d5d939d622ccdee275423fad1e35cb0	.rela.data	580	.data	0x1278	0x1278	0x5c91f8	R_AARCH64_ABS64		1	0	STT_SECTION	.text	0x0	0x236c0	unnamed@.text+0x236c0	0x236c0							data_reference		incoming	RTMP_PRIVATE_AP_SHOW_SUPPORT_PROC+0x1188
.local/legacy-firmware/work/extract/stock-rootfs/lib/modules/5.4.55/mt_wifi.ko	40c8f974ad7317776f602c069c009d1f0d5d939d622ccdee275423fad1e35cb0	.rela.data	582	.data	0x1288	0x1288	0x5c9208	R_AARCH64_ABS64		2	0	STT_SECTION	.text.unlikely	0x0	0x1374	unnamed@.text.unlikely+0x1374	0x1374							data_reference		incoming	RTMP_PRIVATE_AP_SHOW_SUPPORT_PROC+0x1198
.local/legacy-firmware/work/extract/stock-rootfs/lib/modules/5.4.55/mtk_hwifi.ko	6d82ba02d96d638da9e80592a63e31c09d2f8603620066b604c1702d1171c8f7	.rela__ksymtab	7	__ksymtab	0x90	0x90	0x11024	R_AARCH64_PREL32	mtk_bus_rx_ser_event	312	0	STT_FUNC	.text	0x6f4	0x0	mtk_bus_rx_ser_event	0x6f4							data_reference		incoming	
.local/legacy-firmware/work/extract/stock-rootfs/lib/modules/5.4.55/mtk_hwifi.ko	6d82ba02d96d638da9e80592a63e31c09d2f8603620066b604c1702d1171c8f7	.rela.rodata	29	.rodata	0x6b0	0x6b0	0x11780	R_AARCH64_ABS64	mtk_ge_hw_reset	272	0	STT_FUNC	.text	0xd020	0x0	mtk_ge_hw_reset	0xd020							data_reference		incoming	
.local/legacy-firmware/work/extract/stock-rootfs/lib/modules/5.4.55/mtk_hwifi.ko	6d82ba02d96d638da9e80592a63e31c09d2f8603620066b604c1702d1171c8f7	.rela.rodata	39	.rodata	0x700	0x700	0x117d0	R_AARCH64_ABS64	mtk_ge_stop_npu	219	0	STT_FUNC	.text	0xce90	0x0	mtk_ge_stop_npu	0xce90							data_reference		incoming	
.local/legacy-firmware/work/extract/stock-rootfs/lib/modules/5.4.55/mtk_hwifi.ko	6d82ba02d96d638da9e80592a63e31c09d2f8603620066b604c1702d1171c8f7	.rela.rodata	40	.rodata	0x708	0x708	0x117d8	R_AARCH64_ABS64	mtk_ge_start_npu	184	0	STT_FUNC	.text	0xcec4	0x0	mtk_ge_start_npu	0xcec4							data_reference		incoming	
.local/legacy-firmware/work/extract/stock-rootfs/lib/modules/5.4.55/mtk_pci.ko	c71b2073eeb2498c05c5e42bb5ceaf3df664cff42bf0b0740eb6152458e0857b	.rela.data	47	.data	0x1e0	0x1e0	0xf968	R_AARCH64_ABS64		4	0	STT_SECTION	.text.unlikely	0x0	0x50	unnamed@.text.unlikely+0x50	0x50							data_reference		incoming	pci_dma_ops+0x128
.local/legacy-firmware/work/extract/stock-rootfs/lib/modules/5.4.55/mtk_pci.ko	c71b2073eeb2498c05c5e42bb5ceaf3df664cff42bf0b0740eb6152458e0857b	.rela.data	48	.data	0x1e8	0x1e8	0xf970	R_AARCH64_ABS64		4	0	STT_SECTION	.text.unlikely	0x0	0x0	unnamed@.text.unlikely+0x0	0x0							data_reference		incoming	pci_dma_ops+0x130
.local/legacy-firmware/work/extract/stock-rootfs/lib/modules/5.4.55/mtk_pci.ko	c71b2073eeb2498c05c5e42bb5ceaf3df664cff42bf0b0740eb6152458e0857b	.rela.data	58	.data	0x258	0x258	0xf9e0	R_AARCH64_ABS64	npu_rro_init_ind_cmd_queue	71	0	STT_FUNC	.text	0x6bd4	0x0	npu_rro_init_ind_cmd_queue	0x6bd4							data_reference		incoming	ind_cmd_rxq_ops+0x10
.local/legacy-firmware/work/extract/stock-rootfs/lib/modules/5.4.55/npu.ko	fecef1a24531765da1243de773ee7e9bb5b20ff47f1ad3b3736e1f09e9db088e	.rela.gnu.linkonce.this_module	0	.gnu.linkonce.this_module	0x150	0x150	0x3150	R_AARCH64_ABS64	init_module	26	0	STT_FUNC	.text	0x11c4	0x0	init_module	0x11c4							data_reference		incoming	__this_module+0x150
